match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,Year
West Indies Vs India,West Indies,6,Shimron Hetmyer,c Tilak Varma b Mukesh Kumar,9,8,1,0,112.50,2023
West Indies Vs India,West Indies,7,Romario Shepherd,,2,5,0,0,40.00,2023
West Indies Vs India,India,1,Yashasvi Jaiswal,c Joseph b McCoy,1,2,0,0,50.00,2023
West Indies Vs India,India,2,Shubman Gill,c Charles b Joseph,6,11,1,0,54.54,2023
West Indies Vs India,India,3,Suryakumar Yadav,c King b Joseph,83,44,10,4,188.63,2023
West Indies Vs India,India,4,Tilak Varma,,49,37,4,1,132.43,2023
West Indies Vs India,India,5,Hardik Pandya(c),,20,15,1,1,133.33,2023
India Vs West Indies,India,1,Ishan Kishanâ€ , b Shepherd,27,23,2,2,117.39,2023
India Vs West Indies,India,2,Shubman Gill,c Hetmyer b Joseph,7,9,0,1,77.77,2023
India Vs West Indies,India,3,Suryakumar Yadav,run out (Mayers),1,3,0,0,33.33,2023
India Vs West Indies,India,4,Tilak Varma,c McCoy b Hosein,51,41,5,1,124.39,2023
India Vs West Indies,India,5,Sanju Samson,st â€ Pooran b Hosein,7,7,1,0,100.00,2023
India Vs West Indies,India,6,Hardik Pandya(c), b Joseph,24,18,0,2,133.33,2023
India Vs West Indies,India,7,Axar Patel,c â€ Pooran b Shepherd,14,12,1,0,116.66,2023
India Vs West Indies,India,8,Ravi Bishnoi,,8,4,0,1,200.00,2023
India Vs West Indies,India,9,Arshdeep Singh,,6,3,1,0,200.00,2023
India Vs West Indies,West Indies,1,Brandon King,c Yadav b Pandya,0,1,0,0,0.00,2023
India Vs West Indies,West Indies,2,Kyle Mayers,lbw b Arshdeep Singh,15,7,2,1,214.28,2023
India Vs West Indies,West Indies,3,Johnson Charles,c Tilak Varma b Pandya,2,3,0,0,66.66,2023
India Vs West Indies,West Indies,4,Nicholas Pooranâ€ ,c Samson b Mukesh Kumar,67,40,6,4,167.50,2023
India Vs West Indies,West Indies,5,Rovman Powell(c),c Mukesh Kumar b Pandya,21,19,1,1,110.52,2023
India Vs West Indies,West Indies,6,Shimron Hetmyer,lbw b Chahal,22,22,1,1,100.00,2023
India Vs West Indies,West Indies,7,Romario Shepherd,run out (Patel/â€ Ishan Kishan),0,0,0,0,-,2023
India Vs West Indies,West Indies,8,Jason Holder,st â€ Ishan Kishan b Chahal,0,3,0,0,0.00,2023
India Vs West Indies,West Indies,9,Akeal Hosein,,16,10,2,0,160.00,2023
India Vs West Indies,West Indies,10,Alzarri Joseph,,10,8,0,1,125.00,2023
West Indies Vs India,West Indies,1,Brandon King,lbw b Chahal,28,19,4,1,147.36,2023
West Indies Vs India,West Indies,2,Kyle Mayers,lbw b Chahal,1,7,0,0,14.28,2023
West Indies Vs India,West Indies,3,Johnson Charles,c Tilak Varma b Kuldeep Yadav,3,6,0,0,50.00,2023
West Indies Vs India,West Indies,4,Nicholas Pooranâ€ ,c Tilak Varma b Pandya,41,34,2,2,120.58,2023
West Indies Vs India,West Indies,5,Rovman Powell(c),c Yadav b Arshdeep Singh,48,32,3,3,150.00,2023
West Indies Vs India,West Indies,6,Shimron Hetmyer,c Patel b Arshdeep Singh,10,12,1,0,83.33,2023
West Indies Vs India,West Indies,7,Romario Shepherd,,4,6,0,0,66.66,2023
West Indies Vs India,West Indies,8,Jason Holder,,6,5,0,0,120.00,2023
West Indies Vs India,India,1,Ishan Kishanâ€ ,c Powell b McCoy,6,9,1,0,66.66,2023
West Indies Vs India,India,2,Shubman Gill,st â€ Pooran b Hosein,3,9,0,0,33.33,2023
West Indies Vs India,India,3,Suryakumar Yadav,c Hetmyer b Holder,21,21,2,1,100.00,2023
West Indies Vs India,India,4,Tilak Varma,c Hetmyer b Shepherd,39,22,2,3,177.27,2023
West Indies Vs India,India,5,Hardik Pandya(c), b Holder,19,19,3,0,100.00,2023
West Indies Vs India,India,6,Sanju Samson,run out (Mayers),12,12,0,1,100.00,2023
West Indies Vs India,India,7,Axar Patel,c Hetmyer b McCoy,13,11,0,1,118.18,2023
West Indies Vs India,India,8,Kuldeep Yadav, b Shepherd,3,9,0,0,33.33,2023
West Indies Vs India,India,9,Arshdeep Singh,run out (Hetmyer/â€ Pooran),12,7,2,0,171.42,2023
West Indies Vs India,India,10,Yuzvendra Chahal,,1,1,0,0,100.00,2023
West Indies Vs India,India,11,Mukesh Kumar,,1,1,0,0,100.00,2023
India Vs New Zealand,India,1,Ishan Kishanâ€ ,lbw b Bracewell,1,3,0,0,33.33,2023
India Vs New Zealand,India,2,Shubman Gill,,126,63,12,7,200.00,2023
India Vs New Zealand,India,3,Rahul Tripathi,c Ferguson b Sodhi,44,22,4,3,200.00,2023
India Vs New Zealand,India,4,Suryakumar Yadav,c Bracewell b Tickner,24,13,1,2,184.61,2023
India Vs New Zealand,India,5,Hardik Pandya(c),c Bracewell b Mitchell,30,17,4,1,176.47,2023
India Vs New Zealand,India,6,Deepak Hooda,,2,2,0,0,100.00,2023
India Vs New Zealand,New Zealand,1,Finn Allen,c Yadav b Pandya,3,4,0,0,75.00,2023
India Vs New Zealand,New Zealand,2,Devon Conwayâ€ ,c Pandya b Arshdeep Singh,1,2,0,0,50.00,2023
India Vs New Zealand,New Zealand,3,Mark Chapman,c â€ Ishan Kishan b Arshdeep Singh,0,2,0,0,0.00,2023
India Vs New Zealand,New Zealand,4,Glenn Phillips,c Yadav b Pandya,2,7,0,0,28.57,2023
India Vs New Zealand,New Zealand,5,Daryl Mitchell,c Shivam Mavi b Umran Malik,35,25,1,3,140.00,2023
India Vs New Zealand,New Zealand,6,Michael Bracewell, b Umran Malik,8,8,0,1,100.00,2023
India Vs New Zealand,New Zealand,7,Mitchell Santner(c),c Yadav b Shivam Mavi,13,13,1,0,100.00,2023
India Vs New Zealand,New Zealand,8,Ish Sodhi,c Tripathi b Shivam Mavi,0,2,0,0,0.00,2023
India Vs New Zealand,New Zealand,9,Lockie Ferguson,c Umran Malik b Pandya,0,4,0,0,0.00,2023
India Vs New Zealand,New Zealand,10,Blair Tickner,c â€ Ishan Kishan b Pandya,1,5,0,0,20.00,2023
India Vs New Zealand,New Zealand,11,Ben Lister,,0,1,0,0,0.00,2023
New Zealand Vs India,New Zealand,1,Finn Allen, b Chahal,11,10,2,0,110.00,2023
New Zealand Vs India,New Zealand,2,Devon Conwayâ€ ,c â€ Ishan Kishan b Washington Sundar,11,14,1,0,78.57,2023
New Zealand Vs India,New Zealand,3,Mark Chapman,run out (Kuldeep Yadav/â€ Ishan Kishan),14,21,0,0,66.66,2023
New Zealand Vs India,New Zealand,4,Glenn Phillips, b Hooda,5,10,0,0,50.00,2023
New Zealand Vs India,New Zealand,5,Daryl Mitchell, b Kuldeep Yadav,8,13,1,0,61.53,2023
New Zealand Vs India,New Zealand,6,Michael Bracewell,c Arshdeep Singh b Pandya,14,22,0,0,63.63,2023
New Zealand Vs India,New Zealand,7,Mitchell Santner(c),,19,23,1,0,82.60,2023
New Zealand Vs India,New Zealand,8,Ish Sodhi,c Pandya b Arshdeep Singh,1,2,0,0,50.00,2023
New Zealand Vs India,New Zealand,9,Lockie Ferguson,c Washington Sundar b Arshdeep Singh,0,2,0,0,0.00,2023
New Zealand Vs India,New Zealand,10,Jacob Duffy,,6,3,1,0,200.00,2023
New Zealand Vs India,India,1,Shubman Gill,c Allen b Bracewell,11,9,2,0,122.22,2023
New Zealand Vs India,India,2,Ishan Kishanâ€ ,run out (Phillips/Santner),19,32,2,0,59.37,2023
New Zealand Vs India,India,3,Rahul Tripathi,c Phillips b Sodhi,13,18,1,0,72.22,2023
New Zealand Vs India,India,4,Suryakumar Yadav,,26,31,1,0,83.87,2023
New Zealand Vs India,India,5,Washington Sundar,run out (Tickner),10,9,1,0,111.11,2023
